common_name,taxonomic_index,alphabetic_index,scientific_name,alpha_code,order,family,bioacoustic_category,description,high_or_low,bandpass_low_freq,bandpass_high_freq,typical_duration_ms,median_duration,approx_duration,oldbird_spectrogram,oldbird_nocturnal_spectrogram,oldbird_link,display_images,full_images,audio
Black-bellied Whistling-Duck,0,81,Dendrocygna autumnalis,BBWD,Anseriformes,Anatidae,,,,,,,,,,,,,,
Fulvous Whistling-Duck,1,263,Dendrocygna bicolor,FUWD,Anseriformes,Anatidae,,,,,,,,,,,,,,
Emperor Goose,2,246,Anser canagicus,EMGO,Anseriformes,Anatidae,,,,,,,,,,,,,,
Snow Goose,3,605,Anser caerulescens,SNGO,Anseriformes,Anatidae,,,,,,,,,,,,,,
Ross's Goose,4,562,Anser rossii,ROGO,Anseriformes,Anatidae,,,,,,,,,,,,,,
Greater White-fronted Goose,6,306,Anser albifrons,GWFG,Anseriformes,Anatidae,,,,,,,,,,,,,,
Brant,11,121,Branta bernicla,BRAN,Anseriformes,Anatidae,,,,,,,,,,,,,,
Cackling Goose,13,148,Branta hutchinsii,CACG,Anseriformes,Anatidae,,,,,,,,,,,,,,
Canada Goose,14,158,Branta canadensis,CANG,Anseriformes,Anatidae,,,"Low, Middle, High",0.1,10000.0,,0.09300000000000001,0.1,,,,"['media/CANG/spectrograms/A2PS1_20140927_193400_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_563.844_563.924_display.jpg', 'media/CANG/spectrograms/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_11974.229_11974.483999999999_display.jpg', 'media/CANG/spectrograms/BERI1-20190406_202700_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_12060.781_12060.851_display.jpg', 'media/CANG/spectrograms/SCST2_20150926_193700_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_10306.709_10306.915_display.jpg', 'media/CANG/spectrograms/A2PS1_20140927_193400_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_571.637_571.669_display.jpg', 'media/CANG/spectrograms/A2PS1_20140912_200400_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_16198.653999999999_16198.9_display.jpg', 'media/CANG/spectrograms/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_548.6990000000001_548.746_display.jpg', 'media/CANG/spectrograms/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_13063.128999999999_13063.221000000001_display.jpg', 'media/CANG/spectrograms/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_235.40400000000002_235.497_display.jpg', 'media/CANG/spectrograms/SCST2_20150926_193700_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_10297.32_10297.507_display.jpg', 'media/CANG/spectrograms/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_944.2860000000001_944.332_display.jpg', 'media/CANG/spectrograms/SCST2_20150926_193700_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_10298.787_10298.939_display.jpg', 'media/CANG/spectrograms/A2PS1_20140927_193400_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_592.992_593.024_display.jpg', 'media/CANG/spectrograms/A2PS1_20140927_193400_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_560.259_560.378_display.jpg', 'media/CANG/spectrograms/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_547.1669999999999_547.225_display.jpg', 'media/CANG/spectrograms/A2PS1_20140927_193400_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_579.688_579.87_display.jpg', 'media/CANG/spectrograms/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_13054.096000000001_13054.131000000001_display.jpg', 'media/CANG/spectrograms/SCST2_20150926_193700_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_10295.243_10295.285_display.jpg', 'media/CANG/spectrograms/SCST2_20150926_193700_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_10309.308_10309.453000000001_display.jpg', 'media/CANG/spectrograms/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_243.345_243.45_display.jpg', 'media/CANG/spectrograms/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_936.194_936.275_display.jpg', 'media/CANG/spectrograms/SCST2_20150926_193700_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_10310.696_10310.791_display.jpg', 'media/CANG/spectrograms/BERI1-20190406_202700_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_12042.252_12042.333_display.jpg', 'media/CANG/spectrograms/SCST2_20150926_193700_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_10301.955_10302.232_display.jpg', 'media/CANG/spectrograms/SCST2_20150926_193700_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_10308.098_10308.288_display.jpg', 'media/CANG/spectrograms/SCST2_20170414_203200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_18663.509_18663.541_display.jpg', 'media/CANG/spectrograms/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_225.88400000000001_226.0_display.jpg', 'media/CANG/spectrograms/SCST2_20170414_203200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_18159.541_18159.616_display.jpg', 'media/CANG/spectrograms/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_961.155_961.2360000000001_display.jpg', 'media/CANG/spectrograms/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_544.6469999999999_544.763_display.jpg']","['media/CANG/spectrograms/A2PS1_20140927_193400_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_563.844_563.924.jpg', 'media/CANG/spectrograms/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_11974.229_11974.483999999999.jpg', 'media/CANG/spectrograms/BERI1-20190406_202700_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_12060.781_12060.851.jpg', 'media/CANG/spectrograms/SCST2_20150926_193700_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_10306.709_10306.915.jpg', 'media/CANG/spectrograms/A2PS1_20140927_193400_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_571.637_571.669.jpg', 'media/CANG/spectrograms/A2PS1_20140912_200400_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_16198.653999999999_16198.9.jpg', 'media/CANG/spectrograms/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_548.6990000000001_548.746.jpg', 'media/CANG/spectrograms/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_13063.128999999999_13063.221000000001.jpg', 'media/CANG/spectrograms/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_235.40400000000002_235.497.jpg', 'media/CANG/spectrograms/SCST2_20150926_193700_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_10297.32_10297.507.jpg', 'media/CANG/spectrograms/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_944.2860000000001_944.332.jpg', 'media/CANG/spectrograms/SCST2_20150926_193700_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_10298.787_10298.939.jpg', 'media/CANG/spectrograms/A2PS1_20140927_193400_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_592.992_593.024.jpg', 'media/CANG/spectrograms/A2PS1_20140927_193400_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_560.259_560.378.jpg', 'media/CANG/spectrograms/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_547.1669999999999_547.225.jpg', 'media/CANG/spectrograms/A2PS1_20140927_193400_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_579.688_579.87.jpg', 'media/CANG/spectrograms/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_13054.096000000001_13054.131000000001.jpg', 'media/CANG/spectrograms/SCST2_20150926_193700_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_10295.243_10295.285.jpg', 'media/CANG/spectrograms/SCST2_20150926_193700_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_10309.308_10309.453000000001.jpg', 'media/CANG/spectrograms/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_243.345_243.45.jpg', 'media/CANG/spectrograms/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_936.194_936.275.jpg', 'media/CANG/spectrograms/SCST2_20150926_193700_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_10310.696_10310.791.jpg', 'media/CANG/spectrograms/BERI1-20190406_202700_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_12042.252_12042.333.jpg', 'media/CANG/spectrograms/SCST2_20150926_193700_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_10301.955_10302.232.jpg', 'media/CANG/spectrograms/SCST2_20150926_193700_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_10308.098_10308.288.jpg', 'media/CANG/spectrograms/SCST2_20170414_203200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_18663.509_18663.541.jpg', 'media/CANG/spectrograms/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_225.88400000000001_226.0.jpg', 'media/CANG/spectrograms/SCST2_20170414_203200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_18159.541_18159.616.jpg', 'media/CANG/spectrograms/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_961.155_961.2360000000001.jpg', 'media/CANG/spectrograms/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_544.6469999999999_544.763.jpg']","['media/CANG/audio/A2PS1_20140927_193400_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_563.844_563.924.wav', 'media/CANG/audio/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_11974.229_11974.483999999999.wav', 'media/CANG/audio/BERI1-20190406_202700_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_12060.781_12060.851.wav', 'media/CANG/audio/SCST2_20150926_193700_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_10306.709_10306.915.wav', 'media/CANG/audio/A2PS1_20140927_193400_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_571.637_571.669.wav', 'media/CANG/audio/A2PS1_20140912_200400_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_16198.653999999999_16198.9.wav', 'media/CANG/audio/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_548.6990000000001_548.746.wav', 'media/CANG/audio/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_13063.128999999999_13063.221000000001.wav', 'media/CANG/audio/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_235.40400000000002_235.497.wav', 'media/CANG/audio/SCST2_20150926_193700_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_10297.32_10297.507.wav', 'media/CANG/audio/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_944.2860000000001_944.332.wav', 'media/CANG/audio/SCST2_20150926_193700_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_10298.787_10298.939.wav', 'media/CANG/audio/A2PS1_20140927_193400_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_592.992_593.024.wav', 'media/CANG/audio/A2PS1_20140927_193400_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_560.259_560.378.wav', 'media/CANG/audio/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_547.1669999999999_547.225.wav', 'media/CANG/audio/A2PS1_20140927_193400_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_579.688_579.87.wav', 'media/CANG/audio/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_13054.096000000001_13054.131000000001.wav', 'media/CANG/audio/SCST2_20150926_193700_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_10295.243_10295.285.wav', 'media/CANG/audio/SCST2_20150926_193700_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_10309.308_10309.453000000001.wav', 'media/CANG/audio/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_243.345_243.45.wav', 'media/CANG/audio/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_936.194_936.275.wav', 'media/CANG/audio/SCST2_20150926_193700_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_10310.696_10310.791.wav', 'media/CANG/audio/BERI1-20190406_202700_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_12042.252_12042.333.wav', 'media/CANG/audio/SCST2_20150926_193700_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_10301.955_10302.232.wav', 'media/CANG/audio/SCST2_20150926_193700_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_10308.098_10308.288.wav', 'media/CANG/audio/SCST2_20170414_203200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_18663.509_18663.541.wav', 'media/CANG/audio/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_225.88400000000001_226.0.wav', 'media/CANG/audio/SCST2_20170414_203200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_18159.541_18159.616.wav', 'media/CANG/audio/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_961.155_961.2360000000001.wav', 'media/CANG/audio/BERI1-20190402_202200_ANSERIFORMES_ANATIDAE_BRANTA_CANADENSIS_CANG_544.6469999999999_544.763.wav']"
Hawaiian Goose,15,329,Branta sandvicensis,HAGO,Anseriformes,Anatidae,,,,,,,,,,,,,,
